"","Town_City","Village","Streets","count_families","CF_int","A_int","AP_int","HP_int","building_id","damage_grade"
"1",11,660,4317,1,1,10,8,3,344723,"1"
"2",26,39,11246,1,3,5,31,11,183844,"1"
"3",26,991,2757,1,0.282170574164371,20,5,2,59078,"1"
"4",22,1398,3765,1,1,5,9,3,310299,"1"
"5",26,1023,9865,1,1,10,3,4,328433,"1"
"6",1,987,4686,1,2,70,10,5,64783,"1"
"7",9,210,5427,1,1,0,6,3,275152,"1"
"8",6,1253,5906,1,3,30,12,10,605112,"1"
"9",20,1134,5313,1,2,5,8,4,749679,"1"
"10",13,257,732,1,3,55,10,5,667773,"1"
"11",22,890,9562,1,1,15,9,3,124315,"1"
"12",8,463,2386,1,2,15,26,7,417110,"1"
"13",26,1023,10220,1,2,5,4,5,6493,"1"
"14",20,158,621,0,2,0,5,6,558815,"1"
"15",21,499,6469,1,1,0,7,3,1009181,"1"
"16",26,896,428,1,2,5,5,6,713933,"1"
"17",13,1372,9922,0,2,0,8,5,544591,"1"
"18",20,174,2982,0,2,0,6,5,989353,"1"
"19",1,1386,12565,2,2,20,7,5,547772,"1"
"20",10,70,5834,1,1,5,6,3,335439,"1"
"21",26,264,955,1,2,15,9,6,431066,"1"
"22",10,70,4018,0,1,0,3,2,717690,"1"
"23",13,1310,202,1,2,0,5,4,595376,"1"
"24",20,173,5183,1,2,20,16,5,711395,"1"
"25",9,713,261,1,1,0,10,3,892848,"1"
"26",20,508,34,1,2,5,7,4,505530,"1"
"27",25,745,9834,1,2,15,6,6,347636,"1"
"28",1,280,8959,1,3,20,13,7,943113,"1"
"29",26,39,9133,1,1,10,22,3,509109,"1"
"30",26,39,11440,0,1,0,6,3,499239,"1"
"31",26,753,2024,1,1,30,5,3,105942,"1"
"32",26,886,12157,1,2,5,7,5,332388,"1"
"33",20,158,2452,1,2,10,7,4,45613,"1"
"34",20,270,5138,1,2,10,13,9,339259,"1"
"35",13,308,250,1,2,25,5,6,389063,"1"
"36",11,660,9636,0,2,10,64,6,616298,"1"
"37",20,323,747,1,2,0,15,6,141960,"1"
"38",4,556,6049,1,1,0,5,2,77102,"1"
"39",26,39,11246,1,1.05619674577182,15,8,2,616295,"1"
"40",6,565,4896,1,3,10,11,8,475044,"1"
"41",20,1339,6898,1,2,15,7,4,1028428,"1"
"42",20,508,8707,1,2,0,11,6,583716,"1"
"43",20,158,621,6,4,5,23,16,817206,"1"
"44",13,1376,7460,1,1,60,4,4,350957,"1"
"45",20,1112,11058,1,2,0,5,3,951483,"1"
"46",26,1401,11213,1,2,5,8,7,78490,"1"
"47",13,57,2700,1,1,0,4,2,40183,"1"
"48",26,264,453,1,2,10,8,5,923584,"1"
"49",26,39,11440,1,1,5,11,3,653959,"1"
"50",7,157,7679,0,2,0,7,6,165185,"1"
"51",7,630,5191,1,2,45,9,5,1000735,"1"
"52",30,73,11442,1,2,15,15,6,374000,"1"
"53",26,36,1125,1,1,5,5,3,342406,"1"
"54",20,863,8578,1,2,15,9,7,931087,"1"
"55",17,247,3997,1,4,0,40,12,1045527,"1"
"56",10,151,7723,1,2,10,19,6,25015,"1"
"57",11,155,3199,1,2,15,9,8,448071,"1"
"58",5,867,6763,1,2,20,5,4,304164,"1"
"59",13,311,7430,0,2,15,4,5,831153,"1"
"60",4,651,1538,1,2,20,3,4,928740,"1"
"61",18,1317,2006,1,2,20,14,7,406826,"1"
"62",26,1377,1204,1,2,25,9,4,714727,"1"
"63",13,257,12437,1,2,25,5,3,454850,"1"
"64",20,323,5399,5,2,5,18,6,91778,"1"
"65",13,57,7325,1,1,20,6,2,809179,"1"
"66",13,128,5886,1,2,10,7,5,203267,"1"
"67",8,463,6973,1,1,5,7,3,824245,"1"
"68",24,958,4962,1,3,15,12,7,431378,"1"
"69",20,826,5653,1,1,25,8,2,34248,"1"
"70",26,1081,11012,2,2,60,11,10,755196,"1"
"71",7,901,11244,0,4,5,3,6,776695,"1"
"72",6,845,9204,0,5,10,21,16,18953,"1"
"73",26,358,9434,1,3,25,11,8,339433,"1"
"74",26,1132,3071,3,2,10,16,6,744577,"1"
"75",3,574,493,0,3,20,13,9,903568,"1"
"76",26,886,12157,1,1,0,6,3,352439,"1"
"77",13,1376,10778,1,1,15,7.5676804448038,4,777202,"1"
"78",26,39,11246,1,1,10,8,3,86882,"1"
"79",26,991,3006,1,2,5,6,4,844824,"1"
"80",21,363,7868,1,3,10,17,9,716422,"1"
"81",6,673,7819,1,3,0,7,10,75898,"1"
"82",26,896,9195,1,2,25,5,5,462943,"1"
"83",26,886,9779,1,2,10,5,5,823112,"1"
"84",26,36,8124,2,1,5,8,3,448580,"1"
"85",6,384,11974,1,2,15,12,10,264671,"1"
"86",9,230,1781,1,2,5,15,6,334338,"1"
"87",10,575,2193,1,2,0,9,8,365839,"1"
"88",10,151,7723,1,2,5,12,6,164142,"1"
"89",26,896,11617,1,2,10,3,4,1008122,"1"
"90",8,912,8308,1,1,0,17,3,32346,"1"
"91",26,39,9133,1,1,10,6,3,1023268,"1"
"92",4,328,4394,0,2,0,6,4,126914,"1"
"93",26,896,3221,1,2,0,3,7,804588,"1"
"94",1,1169,12544,1,2,35,8,5,811094,"1"
"95",20,508,10459,1,2,0,9,7,1037816,"1"
"96",26,886,994,1,1,0,6,5,1018957,"1"
"97",22,726,10485,1,2,25,11,5,381316,"1"
"98",13,199,4248,1,1,25,6,2,481811,"1"
"99",11,765,4208,0,1,10,6,3,762260,"1"
"100",20,1021,4531,1,2,20,4,5,24411,"1"
"101",26,39,11246,1,1,10,14,3,94823,"1"
"102",26,1050,6937,1,1,10,16,3,540217,"1"
"103",2,1156,5336,1,2,20,7,4,716851,"1"
"104",6,1350,5020,1,3,0,13,8,801402,"1"
"105",10,1248,11556,1,1,0,17,3,1026687,"1"
"106",6,673,6023,1,3,15,17,8,349627,"1"
"107",26,36,5318,1,2,25,4,7,762746,"1"
"108",26,39,11246,1,1,0,42,3,556269,"1"
"109",20,281,3033,1,2,0,6,6,839918,"1"
"110",20,190,11721,0,1,10,4,3,693062,"1"
"111",20,729,6199,1,2,10,6,5,636537,"1"
"112",10,356,7467,1,2,15,7,7,657578,"1"
"113",26,621,3087,0,1,10,9,3,856086,"1"
"114",10,310,6799,1,2,20,8,4,45013,"1"
"115",26,1001,11619,1,1,25,5,4,303102,"1"
"116",4,71,1709,1,3,10,4,6,525658,"1"
"117",10,661,5931,0,1,0,17,3,537846,"1"
"118",20,922,1378,1,2,0,6,5,967800,"1"
"119",21,363,7868,1,3,5,6,8,368862,"1"
"120",26,619,9214,0,2,10,6,5,257312,"1"
"121",25,854,11654,1,2,25,6,5,794957,"1"
"122",26,39,11246,1,1,5,21,3,918447,"1"
"123",13,257,8318,1,3,0,5,4,708873,"1"
"124",26,1081,10630,0,2,10,14,7,303955,"1"
"125",1,1137,8733,1,3,30,12,6,505266,"1"
"126",26,1023,11319,1,1,0,11,3,312677,"1"
"127",12,591,8345,1,2,80,9,4,1020821,"1"
"128",26,39,633,2,3,20,14,10,68657,"1"
"129",10,151,7723,1,1,0,13.2483099475735,3,930604,"1"
"130",26,39,2005,1,2,25,5,5.67522708776311,715000,"1"
"131",26,1050,2504,1,1,0,6,3,761629,"1"
"132",6,1108,3176,1,1,0,4,2,536270,"1"
"133",20,826,1369,1,2,25,5,4,674853,"1"
"134",8,463,8236,1,1,0,17,3,1037255,"1"
"135",13,64,2232,1,2,15,4,3,747793,"1"
"136",25,889,10635,1,2,10,8,7,418673,"1"
"137",26,39,9133,2,2,20,8,6,995314,"1"
"138",0,946,11780,0,2,10,5,5,397466,"1"
"139",26,39,1851,1,1,0,10,3,930572,"1"
"140",10,1055,3785,1,2,0,3,5,133134,"1"
"141",27,1394,676,0,3,25,15,9,250504,"1"
"142",21,363,7868,1,1,0,8,3,984256,"1"
"143",26,39,9133,1,1,0,8,3,976219,"1"
"144",20,385,10589,1,2,10,4,5,508496,"1"
"145",20,1021,5023,1,2,10,5,4,952658,"1"
"146",26,39,9133,2,2,5,19,7,209515,"1"
"147",26,39,2005,1,1,20,4,3,562066,"1"
"148",24,958,5165,1,2,995,7,4,249026,"1"
"149",18,1317,2006,0,3,5,14,10,909940,"1"
"150",20,508,12421,0,1,0,5,3,14895,"1"
"151",26,39,85,1,2,0,8,5,698900,"1"
"152",26,886,9779,1,1,0,4,2,327766,"1"
"153",26,432,10609,1,2,25,7,5,16175,"1"
"154",7,1273,9900,1,1,0,3,3,211166,"1"
"155",0,946,9173,1,3,20,9,7,242787,"1"
"156",26,39,633,1,1,0,17,3,77824,"1"
"157",0,885,12121,1,2,20,7,5,572041,"1"
"158",11,147,10399,1,2,5,5,6,279277,"1"
"159",9,210,2566,1,2,5,13,6,516132,"1"
"160",26,358,6526,1,2,10,7,6,24460,"1"
"161",26,1110,4183,1,2,5,6,5,878414,"1"
"162",4,556,478,0,2,5,5,6,520216,"1"
